transect_number,quadrat,species,percent_cover
33,8,avena fatua,20
33,8,bromus hordeaceus,15
33,8,anthoxanthum odoratum,10
33,8,microlaena stipoides,10
33,8,romulea rosea,2
33,8,plantago lanceolata,5
33,8,briza minor,1
33,8,rytidosperma racemosum,0.5
33,8,vulpia bromoides,1
33,8,rytidosperma erianthum,0.5
33,8,lolium perenne,1
33,8,holcus lanatus,0.5
33,8,helminthotheca echioides,0.5
33,8,dichelachne crinita,0.5
33,8,BG,25
33,9,romulea rosea,10
33,9,avena fatua,50
33,9,lolium perenne,10
33,9,aira caryophyllea,5
33,9,plantago lanceolata,0.5
33,9,vulpia bromoides,0.5
33,9,poa morrisii,5
33,9,briza minor,2
33,9,microlaena stipoides,2
33,9,bromus hordeaceus,1
33,9,BG,0.5
33,10,avena fatua,50
33,10,briza maxima,2
33,10,acaena echinata,1
33,10,plantago lanceolata,2
33,10,briza minor,0.5
33,10,schoenus apogon,0.5
33,10,bromus hordeaceus,10
33,10,elymus scaber,0.5
33,10,poa morrisii,10
33,10,caesia calliantha,0.5
33,10,dichelachne crinita,0.5
33,10,phalaris aquatica,0.5
33,10,microlaena stipoides,1
33,10,romulea rosea,1
33,10,trifolium glomeratum,0.5
33,10,BG,5
37,1,plantago lanceolata,70
37,1,elymus scaber,5
37,1,trifolium angustifolium,0.5
37,1,poa rodwayi,0.5
37,1,themeda triandra,10
37,1,rytidosperma erianthum,10
37,1,BG,2
37,2,plantago lanceolata,40
37,2,bromus hordeaceus,1
37,2,acaena echinata,0.5
37,2,themeda triandra,15
37,2,briza minor,0.5
37,2,rytidosperma erianthum,10
37,2,oxalis perennans,0.5
37,2,lolium perenne,1
37,2,aira caryophyllea,0.5
37,2,hypochaeris radicata,0.5
37,2,asperula conferta,1
37,2,vulpia bromoides,0.5
37,2,eryngium ovinum,0.5
37,2,BG,30
37,3,poa rodwayi,10
37,3,elymus scaber,10
37,3,plantago lanceolata,40
37,3,microlaena stipoides,1
37,3,aira caryophyllea,0.5
37,3,romulea rosea,1
37,3,briza maxima,1
37,3,bromus hordeaceus,0.5
37,3,acaena echinata,5
37,3,oxalis perennans,0.5
37,3,rytidosperma erianthum,1
37,3,schoenus apogon,0.5
37,3,BG,25
37,4,plantago lanceolata,50
37,4,vulpia bromoides,25
37,4,elymus scaber,0.5
37,4,veronica gracilis,5
37,4,romulea rosea,1
37,4,phalaris aquatica,2
37,4,holcus lanatus,0.5
37,4,acaena echinata,2
37,4,lolium perenne,0.5
37,4,hypochaeris radicata,2
37,4,aira caryophyllea,0.5
37,4,poa rodwayi,0.5
37,4,bromus hordeaceus,5
37,4,BG,2
37,5,elymus scaber,25
37,5,plantago lanceolata,50
37,5,rytidosperma erianthum,1
37,5,bromus hordeaceus,20
37,5,asperula conferta,2
37,5,vulpia bromoides,1
37,5,lachnagrostis punicea subsp. punicea,0.5
37,5,romulea rosea,0.5
37,5,BG,0.5
37,6,poa labillardierei,20
37,6,plantago lanceolata,70
37,6,bromus hordeaceus,2
37,6,asperula conferta,0.5
37,6,veronica gracilis,1
37,6,hypochaeris radicata,2
37,6,acaena echinata,0.5
37,6,dichelachne crinita,0.5
37,6,elymus scaber,0.5
37,6,BG,2
37,7,plantago lanceolata,25
37,7,elymus scaber,1
37,7,aira caryophyllea,10
37,7,asperula conferta,5
37,7,veronica gracilis,1
37,7,eryngium ovinum,0.5
37,7,*Poaceae sp.,60
37,7,agrostis sp.,0.5
37,7,oxalis perennans,0.5
37,7,trifolium angustifolium,0.5
37,7,briza minor,1
37,7,BG,0.5
37,8,elymus scaber,10
37,8,plantago lanceolata,25
37,8,themeda triandra,25
37,8,aira caryophyllea,10
37,8,rytidosperma fulvum,0.5
37,8,holcus lanatus,0.5
37,8,briza minor,0.5
37,8,vulpia bromoides,20
37,8,romulea rosea,1
37,8,lolium perenne,0.5
37,8,convolvulus angustissimus,1
37,8,acaena echinata,0.5
37,8,microlaena stipoides,1
37,8,BG,0
37,9,rytidosperma fulvum,5
37,9,plantago lanceolata,10
37,9,elymus scaber,20
37,9,asperula conferta,20
37,9,vulpia bromoides,30
37,9,bromus hordeaceus,2
37,9,rytidosperma erianthum,5
37,9,austrostipa bigeniculata,0.5
37,9,trifolium angustifolium,0.5
37,9,sonchus asper,0.5
37,9,trifolium glomeratum,0.5
37,9,microlaena stipoides,1
37,9,BG,0
37,10,austrostipa bigeniculata,5
37,10,plantago lanceolata,60
37,10,schoenus apogon,1
37,10,briza maxima,0.5
37,10,aira caryophyllea,10
37,10,rytidosperma erianthum,5
37,10,dichelachne crinita,0.5
37,10,rytidosperma carphoides,1
37,10,romulea rosea,0.5
37,10,acaena echinata,0.5
37,10,tricoryne elatior,0.5
37,10,vulpia bromoides,2
37,10,briza minor,0.5
37,10,BG,20
1,1,rytidosperma setaceum,2
1,1,romulea rosea,10
1,1,bothriochloa macra,5
1,1,rytidosperma auriculatum,5
1,1,austrostipa gibbosa,0.5
1,1,chloris truncata,0.5
1,1,BG,80
1,2,calocephalus citreus,1
1,2,romulea rosea,5
1,2,asperula conferta,2
1,2,rytidosperma auriculatum,5
1,2,plantago lanceolata,1
1,2,vulpia sp.,0.5
1,2,austrostipa gibbosa,1
1,2,goodenia pinnatifida,0.5
1,2,rytidosperma setaceum,5
1,2,BG,60
1,3,bothriochloa macra,5
1,3,vulpia bromoides,2
1,3,rytidosperma setaceum,2
1,3,convolvulus angustissimus,1
1,3,acaena echinata,0.5
1,3,romulea rosea,5
1,3,aira caryophyllea,0.5
1,3,austrostipa gibbosa,10
1,3,asperula conferta,0.5
1,3,nassella neesiana,10
1,3,solenogyne dominii,0.5
1,3,oxalis perennans,0.5
1,3,BG,60
1,4,rytidosperma auriculatum,5
1,4,nassella neesiana,10
1,4,vulpia myuros,0.5
1,4,plantago lanceolata,2
1,4,solenogyne dominii,0.5
1,4,aira caryophyllea,0.5
1,4,vulpia bromoides,1
1,4,chloris truncata,0.5
1,4,haloragis heterophylla,1
1,4,oxalis perennans,0.5
1,4,romulea rosea,5
1,4,asperula conferta,5
1,4,lolium perenne,0.5
1,4,BG,50
1,5,asperula conferta,20
1,5,rytidosperma auriculatum,1
1,5,nassella neesiana,5
1,5,rytidosperma setaceum,0.5
1,5,pimelea sp.,0.5
1,5,chloris truncata,0.5
1,5,romulea rosea,10
1,5,BG,20
1,6,calocephalus citreus,0.5
1,6,austrostipa bigeniculata,5
1,6,rytidosperma sp.,5
1,6,bothriochloa macra,10
1,6,chloris truncata,0.5
1,6,romulea rosea,5
1,6,oxalis perennans,0.5
1,6,aira caryophyllea,0.5
1,6,pentapogon quadrifidus,0.5
1,6,bromus hordeaceus,0.5
1,6,schoenus apogon,0.5
1,6,vulpia muralis,2
1,6,BG,60
1,7,plantago lanceolata,2
1,7,rytidosperma setaceum,1
1,7,romulea rosea,10
1,7,austrostipa bigeniculata,15
1,7,bromus hordeaceus,20
1,7,chloris truncata,0.5
1,7,nassella neesiana,1
1,7,BG,40
1,8,asperula conferta,10
1,8,plantago lanceolata,1
1,8,austrostipa bigeniculata,15
1,8,romulea rosea,15
1,8,calocephalus citreus,0.5
1,8,rytidosperma setaceum,0.5
1,8,rytidosperma sp.,1
1,8,bromus hordeaceus,0.5
1,8,nassella neesiana,0.5
1,8,convolvulus angustissimus,1
1,8,solenogyne dominii,0.5
1,8,aira caryophyllea,0.5
1,8,BG,50
1,9,austrostipa bigeniculata,5
1,9,calocephalus citreus,0.5
1,9,rytidosperma sp.,5
1,9,nassella neesiana,20
1,9,vulpia muralis,1
1,9,bromus hordeaceus,1
1,9,lolium perenne,0.5
1,9,aira caryophyllea,0.5
1,9,tribolium acutiflorum,0.5
1,9,rytidosperma setaceum,0.5
1,9,bothriochloa macra,0.5
1,9,elymus scaber,0.5
1,9,BG,60
1,10,convolvulus angustissimus,0.5
1,10,plantago lanceolata,2
1,10,nassella neesiana,10
1,10,haloragis heterophylla,10
1,10,briza minor,0.5
1,10,rytidosperma setaceum,5
1,10,schoenus apogon,0.5
1,10,solenogyne dominii,0.5
1,10,dichelachne crinita,0.5
1,10,acaena echinata,0.5
1,10,rytidosperma sp.,1
1,10,aira caryophyllea,0.5
1,10,vulpia muralis,1
1,10,lolium perenne,0.5
1,10,oxalis perennans,0.5
1,10,romulea rosea,5
1,10,BG,60
38,1,nassella neesiana,15
38,1,rytidosperma setaceum,10
38,1,romulea rosea,10
38,1,vulpia myuros,0.5
38,1,aira caryophyllea,0.5
38,1,chloris truncata,10
38,1,asperula conferta,2
38,1,rytidosperma sp.,0.5
38,1,convolvulus angustissimus,0.5
38,1,lolium perenne,5
38,1,vulpia bromoides,0.5
38,1,trifolium glomeratum,0.5
38,1,aira elegantissima,0.5
38,1,BG,25
38,2,austrostipa bigeniculata,0.5
38,2,nassella neesiana,2
38,2,romulea rosea,50
38,2,plantago lanceolata,0.5
38,2,lolium perenne,0.5
38,2,convolvulus angustissimus,0.5
38,2,chloris truncata,0.5
38,2,aira caryophyllea,0.5
38,2,vulpia bromoides,5
38,2,BG,30
38,3,austrostipa bigeniculata,0.5
38,3,rytidosperma sp.,2
38,3,nassella neesiana,0.5
38,3,rytidosperma setaceum,0.5
38,3,convolvulus angustissimus,1
38,3,romulea rosea,15
38,3,solenogyne dominii,5
38,3,aira caryophyllea,1
38,3,chloris truncata,2
38,3,vulpia bromoides,2
38,3,plantago lanceolata,2
38,3,BG,70
38,4,plantago lanceolata,2
38,4,convolvulus angustissimus,0.5
38,4,chloris truncata,0.5
38,4,romulea rosea,40
38,4,lolium perenne,1
38,4,rytidosperma sp.,5
38,4,rytidosperma setaceum,5
38,4,BG,40
38,5,plantago lanceolata,5
38,5,asperula conferta,10
38,5,romulea rosea,30
38,5,rytidosperma sp.,2
38,5,nassella neesiana,5
38,5,lolium perenne,1
38,5,helminthotheca echioides,0.5
38,5,chloris truncata,0.5
38,5,BG,50
38,6,plantago lanceolata,10
38,6,rytidosperma sp.,10
38,6,lolium perenne,5
38,6,bromus hordeaceus,5
38,6,romulea rosea,25
38,6,asperula conferta,10
38,6,nassella neesiana,0.5
38,6,chloris truncata,0.5
38,6,leontodon saxatilis,0.5
38,6,BG,30
38,7,lolium perenne,10
38,7,nassella neesiana,10
38,7,plantago lanceolata,1
38,7,romulea rosea,15
38,7,sonchus asper,0.5
38,7,asperula conferta,2
38,7,bromus hordeaceus,5
38,7,vulpia myuros,5
38,7,rytidosperma setaceum,2
38,7,rytidosperma sp.,0.5
38,7,BG,40
38,8,rytidosperma setaceum,5
38,8,rytidosperma sp.,5
38,8,briza minor,1
38,8,leontodon saxatilis,0.5
38,8,asperula conferta,0.5
38,8,romulea rosea,10
38,8,vulpia sp.,0.5
38,8,chloris truncata,0.5
38,8,lolium perenne,2
38,8,haloragis heterophylla,0.5
38,8,austrostipa bigeniculata,5
38,8,BG,60
38,9,romulea rosea,40
38,9,chloris truncata,2
38,9,cynodon dactylon,2
38,9,rytidosperma sp.,2
38,9,rytidosperma setaceum,2
38,9,vulpia myuros,1
38,9,vulpia sp.,0.5
38,9,leontodon saxatilis,0.5
38,9,BG,50
38,10,romulea rosea,30
38,10,rytidosperma sp.,5
38,10,nassella neesiana,2
38,10,chloris truncata,0.5
38,10,convolvulus angustissimus,0.5
38,10,bromus hordeaceus,2
38,10,vulpia bromoides,0.5
38,10,lolium perenne,0.5
38,10,austrostipa bigeniculata,0.5
38,10,BG,60
4,1,rytidosperma setaceum,5
4,1,austrostipa bigeniculata,30
4,1,romulea rosea,5
4,1,vulpia bromoides,0.5
4,1,oxalis perennans,0.5
4,1,plantago lanceolata,0.5
4,1,themeda triandra,5
4,1,BG,50
4,2,austrostipa bigeniculata,10
4,2,romulea rosea,20
4,2,convolvulus angustissimus,0.5
4,2,wahlenbergia sp.,1
4,2,rytidosperma setaceum,20
4,2,plantago lanceolata,0.5
4,2,plantago coronopus,0.5
4,2,BG,40
4,3,rytidosperma setaceum,5
4,3,austrostipa bigeniculata,50
4,3,romulea rosea,5
4,3,BG,40
4,4,themeda triandra,50
4,4,vulpia bromoides,5
4,4,austrostipa scabra subsp. falcata,10
4,4,romulea rosea,2
4,4,rytidosperma setaceum,2
4,4,BG,20
4,5,themeda triandra,50
4,5,romulea rosea,5
4,5,austrostipa bigeniculata,2
4,5,vulpia bromoides,0.5
4,5,BG,45
4,6,austrostipa bigeniculata,0.5
4,6,rytidosperma setaceum,1
4,6,romulea rosea,40
4,6,vulpia bromoides,0.5
4,6,austrostipa scabra subsp. falcata,10
4,6,BG,45
4,7,themeda triandra,50
4,7,romulea rosea,2
4,7,rytidosperma setaceum,0.5
4,7,austrostipa scabra subsp. falcata,0.5
4,7,BG,50
4,8,themeda triandra,30
4,8,austrostipa scabra subsp. falcata,20
4,8,romulea rosea,5
4,8,rytidosperma setaceum,5
4,8,vulpia bromoides,0.5
4,8,BG,40
4,9,themeda triandra,5
4,9,rytidosperma setaceum,2
4,9,chrysocephalum semipapposum,0.5
4,9,romulea rosea,5
4,9,aira caryophyllea,0.5
4,9,austrostipa scabra subsp. falcata,20
4,9,BG,60
4,10,themeda triandra,45
4,10,rytidosperma setaceum,0.5
4,10,romulea rosea,2
4,10,austrostipa scabra subsp. falcata,5
4,10,aira caryophyllea,0.5
4,10,BG,50
18,1,themeda triandra,50
18,1,eryngium ovinum,10
18,1,briza maxima,2
18,1,briza minor,0.5
18,1,centaurium erythraea,1
18,1,romulea rosea,1
18,1,plantago lanceolata,1
18,1,hypochaeris radicata,1
18,1,schoenus apogon,1
18,1,aira caryophyllea,0.5
18,1,linum trigynum,0.5
18,1,Unidentified ?Iridaceae,0.5
18,1,BG,25
18,2,themeda triandra,60
18,2,convolvulus angustissimus,1
18,2,*Unidentified ?Iridaceae,2
18,2,disa bracteata,0.5
18,2,centaurium sp.,1
18,2,schoenus apogon,1
18,2,eryngium ovinum,0.5
18,2,briza maxima,1
18,2,aira caryophyllea,0.5
18,2,plantago lanceolata,1
18,2,haloragis heterophylla,1
18,2,briza minor,0.5
18,2,romulea rosea,1
18,2,BG,30
18,3,themeda triandra,30
18,3,centaurium sp.,2
18,3,schoenus apogon,5
18,3,wahlenbergia gracilis,1
18,3,haloragis heterophylla,1
18,3,briza minor,1
18,3,romulea rosea,2
18,3,schoenus apogon,5
18,3,plantago lanceolata,1
18,3,austrostipa sp.,1
18,3,linum trigynum,0.5
18,3,BG,40
18,4,themeda triandra,30
18,4,briza maxima,5
18,4,briza minor,0.5
18,4,centaurium erythraea,1
18,4,schoenus apogon,5
18,4,austrostipa sp.,1
18,4,eryngium ovinum,0.5
18,4,plantago lanceolata,0.5
18,4,romulea rosea,1
18,4,aira caryophyllea,0.5
18,4,BG,40
18,5,themeda triandra,40
18,5,centaurium tenuifolium,2
18,5,plantago lanceolata,1
18,5,briza maxima,0.5
18,5,veronica gracilis,0.5
18,5,schoenus apogon,2
18,5,romulea rosea,2
18,5,convolvulus angustissimus,0.5
18,5,austrostipa sp.,1
18,5,rytidosperma sp.,0.5
18,5,eryngium ovinum,0.5
18,5,BG,40
18,6,themeda triandra,35
18,6,plantago lanceolata,2
18,6,briza maxima,1
18,6,briza minor,0.5
18,6,haloragis heterophylla,0.5
18,6,veronica gracilis,5
18,6,centaurium sp.,0.5
18,6,lomandra filiformis,2
18,6,aira caryophyllea,0.5
18,6,schoenus apogon,1
18,6,austrostipa sp.,1
18,6,BG,30
18,7,*Unidentified ?Iridaceae,1
18,7,plantago lanceolata,5
18,7,themeda triandra,40
18,7,convolvulus angustissimus,1
18,7,romulea rosea,1
18,7,aira caryophyllea,0.5
18,7,schoenus apogon,1
18,7,briza maxima,1
18,7,linum trigynum,1
18,7,austrostipa sp.,1
18,7,phalaris aquatica,0.5
18,7,BG,25
18,8,themeda triandra,40
18,8,plantago lanceolata,5
18,8,romulea rosea,1
18,8,briza maxima,0.5
18,8,briza minor,2
18,8,aira caryophyllea,1
18,8,austrostipa sp.,0.5
18,8,linum trigynum,1
18,8,*Unidentified ?Iridaceae,2
18,8,trifolium sp.,0.5
18,8,centaurium sp.,0.5
18,8,BG,20
18,9,themeda triandra,40
18,9,convolvulus angustissimus,1
18,9,briza maxima,1
18,9,centaurium sp.,0.5
18,9,aira caryophyllea,0.5
18,9,schoenus apogon,1
18,9,plantago lanceolata,3
18,9,solenogyne dominii,0.5
18,9,austrostipa sp.,0.5
18,9,veronica gracilis,0.5
18,9,linum trigynum,0.5
18,9,oxalis perennans,0.5
18,9,BG,40
18,10,wahlenbergia gracilis,0.5
18,10,themeda triandra,20
18,10,plantago lanceolata,5
18,10,briza maxima,2
18,10,briza minor,1
18,10,schoenus apogon,5
18,10,veronica gracilis,1
18,10,asperula conferta,1
18,10,haloragis heterophylla,0.5
18,10,austrostipa sp.,0.5
18,10,BG,60
21,1,themeda triandra,60
21,1,briza maxima,0.5
21,1,briza minor,5
21,1,schoenus apogon,1
21,1,romulea rosea,1
21,1,linum trigynum,0.5
21,1,BG,40
21,2,themeda triandra,40
21,2,briza maxima,2
21,2,briza minor,1
21,2,aira caryophyllea,1
21,2,haloragis heterophylla,20
21,2,convolvulus angustissimus,2
21,2,plantago lanceolata,1
21,2,romulea rosea,5
21,2,sonchus oleraceus,0.5
21,2,schoenus apogon,1
21,2,helminthotheca echioides,0.5
21,2,dichelachne crinita,0.5
21,2,disa bracteata,0.5
21,2,veronica gracilis,0.5
21,2,BG,10
21,3,themeda triandra,30
21,3,briza minor,2
21,3,briza maxima,1
21,3,haloragis heterophylla,2
21,3,plantago lanceolata,0.5
21,3,schoenus apogon,2
21,3,romulea rosea,1
21,3,elymus scaber,1
21,3,anthoxanthum odoratum,0.5
21,3,veronica gracilis,0.5
21,3,arthropodium strictum,0.5
21,3,BG,20
21,4,themeda triandra,50
21,4,briza minor,2
21,4,haloragis heterophylla,2
21,4,schoenus apogon,1
21,4,dichelachne crinita,0.5
21,4,vulpia bromoides,0.5
21,4,nassella neesiana,0.5
21,4,romulea rosea,1
21,4,BG,20
21,5,themeda triandra,30
21,5,plantago lanceolata,2
21,5,oxalis perennans,0.5
21,5,romulea rosea,1
21,5,briza minor,1
21,5,aira caryophyllea,0.5
21,5,briza maxima,0.5
21,5,schoenus apogon,1
21,5,elymus scaber,0.5
21,5,linum trigynum,0.5
21,5,BG,30
21,6,anthoxanthum odoratum,10
21,6,themeda triandra,30
21,6,dichelachne crinita,0.5
21,6,schoenus apogon,1
21,6,leptorhynchos squamatus,0.5
21,6,romulea rosea,1
21,6,briza minor,1
21,6,briza maxima,0.5
21,6,plantago lanceolata,1
21,6,aira caryophyllea,1
21,6,BG,30
21,7,plantago lanceolata,1
21,7,themeda triandra,30
21,7,briza minor,10
21,7,briza maxima,2
21,7,aira caryophyllea,5
21,7,austrostipa sp.,0.5
21,7,haloragis heterophylla,1
21,7,romulea rosea,1
21,7,dichelachne crinita,0.5
21,7,anthoxanthum odoratum,0.5
21,7,BG,30
21,8,themeda triandra,25
21,8,lomandra filiformis,5
21,8,briza maxima,1
21,8,briza minor,0.5
21,8,aira caryophyllea,1
21,8,schoenus apogon,1
21,8,romulea rosea,1
21,8,haloragis heterophylla,2
21,8,poa rodwayi,5
21,8,BG,40
21,9,senecio quadridentatus,1
21,9,themeda triandra,30
21,9,plantago lanceolata,2
21,9,briza maxima,1
21,9,briza minor,0.5
21,9,haloragis heterophylla,1
21,9,romulea rosea,1
21,9,aira caryophyllea,0.5
21,9,schoenus apogon,1
21,9,anthoxanthum odoratum,0.5
21,9,veronica gracilis,0.5
21,9,tricoryne elatior,0.5
21,9,BG,50
21,10,plantago lanceolata,5
21,10,senecio quadridentatus,1
21,10,themeda triandra,50
21,10,briza maxima,1
21,10,romulea rosea,1
21,10,aira caryophyllea,0.5
21,10,burchardia umbellata,0.5
21,10,bossiaea prostrata,0.5
21,10,centaurium erythraea,0.5
21,10,haloragis heterophylla,1
21,10,anthoxanthum odoratum,0.5
21,10,oxalis perennans,0.5
21,10,BG,15
22,1,galenia pubescens,40
22,1,aira caryophyllea,0.5
22,1,vulpia myuros,10
22,1,avena fatua,0.5
22,1,trifolium glomeratum,0.5
22,1,polycarpon tetraphyllum,0.5
22,1,BG,40
22,2,podolepis jaceoides,10
22,2,galenia pubescens,15
22,2,sonchus asper,0.5
22,2,trifolium striatum,5
22,2,cerastium glomeratum,0.5
22,2,petrorhagia dubia,1
22,2,avena fatua,0.5
22,2,vulpia myuros,0.5
22,2,oxalis corniculata,1
22,2,polycarpon tetraphyllum,1
22,2,aira caryophyllea,1
22,2,austrostipa curticoma,1
22,2,microlaena stipoides,1
22,2,euphorbia drummondii,2
22,2,trifolium glomeratum,0.5
22,2,BG,30
22,3,avena fatua,1
22,3,trifolium striatum,2
22,3,themeda triandra,15
22,3,nassella trichotoma,2
22,3,oxalis perennans,0.5
22,3,trifolium glomeratum,0.5
22,3,sonchus asper,0.5
22,3,senecio quadridentatus,0.5
22,3,cirsium vulgare,0.5
22,3,vulpia myuros,0.5
22,3,austrostipa curticoma,2
22,3,convolvulus angustissimus,0.5
22,3,BG,10
22,4,vulpia myuros,0.5
22,4,galenia pubescens,1
22,4,Polycarpon tetraphyllum,15
22,4,trifolium striatum,1
22,4,cerastium glomeratum,0.5
22,4,trifolium glomeratum,0.5
22,4,crassula sieberiana,0.5
22,4,erodium sp.,0.5
22,4,euphorbia drummondii,1
22,4,BG,30
22,5,avena fatua,0.5
22,5,vulpia myuros,1
22,5,sonchus asper,1
22,5,austrostipa bigeniculata,10
22,5,trifolium striatum,1
22,5,oxalis corniculata,1
22,5,aira caryophyllea,0.5
22,5,bromus hordeaceus,1
22,5,polycarpon tetraphyllum,0.5
22,5,BG,15
22,6,sonchus asper,0.5
22,6,cerastium glomeratum,0.5
22,6,Polycarpon tetraphyllum,0.5
22,6,oxalis corniculata,0.5
22,6,galenia pubescens,0.5
22,6,trifolium campestre,0.5
22,6,BG,0
22,7,dianella admixta,30
22,7,vulpia myuros,0.5
22,7,oxalis perennans,0.5
22,7,convolvulus angustissimus,10
22,7,galenia pubescens,20
22,7,sonchus asper,0.5
22,7,melilotus indicus,0.5
22,7,austrostipa bigeniculata,0.5
22,7,romulea rosea,0.5
22,7,vulpia bromoides,0.5
22,7,hypochaeris radicata,0.5
22,7,microlaena stipoides,0.5
22,7,trifolium striatum,0.5
22,7,rapistrum rugosum,0.5
22,7,avena fatua,0.5
22,7,BG,40
22,8,linum marginale,15
22,8,convolvulus angustissimus,15
22,8,oxalis perennans,1
22,8,trifolium striatum,5
22,8,petrorhagia dubia,1
22,8,trifolium campestre,2
22,8,rapistrum rugosum,0.5
22,8,avena fatua,0.5
22,8,romulea rosea,0.5
22,8,cerastium glomeratum,0.5
22,8,vulpia myuros,0.5
22,8,vulpia bromoides,1
22,8,bromus hordeaceus,0.5
22,8,sonchus asper,0.5
22,8,microlaena stipoides,0.5
22,8,austrostipa bigeniculata,10
22,8,trifolium glomeratum,1
22,8,BG,15
22,9,avena fatua,0.5
22,9,sonchus asper,2
22,9,galenia pubescens,2
22,9,austrostipa bigeniculata,2
22,9,dianella admixta,0.5
22,9,oxalis perennans,0.5
22,9,linum marginale,1
22,9,themeda triandra,0.5
22,9,rapistrum rugosum,0.5
22,9,rytidosperma racemosum,0.5
22,9,BG,35
22,10,avena fatua,0.5
22,10,austrostipa bigeniculata,5
22,10,petrorhagia dubia,0.5
22,10,cerastium glomeratum,0.5
22,10,trifolium glomeratum,0.5
22,10,trifolium arvense,2
22,10,convolvulus angustissimus,1
22,10,sonchus asper,0.5
22,10,romulea rosea,0.5
22,10,microlaena stipoides,1
22,10,oxalis perennans,0.5
22,10,BG,10
26,1,themeda triandra,60
26,1,plantago lanceolata,5
26,1,briza maxima,5
26,1,aira caryophyllea,2
26,1,poa rodwayi,5
26,1,romulea rosea,1
26,1,briza minor,2
26,1,anthoxanthum odoratum,0.5
26,1,linum trigynum,0.5
26,1,rytidosperma laeve,1
26,1,arthropodium strictum,0.5
26,1,schoenus apogon,0.5
26,1,BG,5
26,2,themeda triandra,60
26,2,austrostipa scabra subsp. falcata,1
26,2,rytidosperma laeve,2
26,2,romulea rosea,5
26,2,plantago lanceolata,5
26,2,acaena echinata,2
26,2,poa rodwayi,1
26,2,veronica gracilis,0.5
26,2,linum trigynum,0.5
26,2,BG,20
26,3,themeda triandra,50
26,3,briza maxima,5
26,3,plantago lanceolata,10
26,3,asperula conferta,1
26,3,linum trigynum,1
26,3,romulea rosea,2
26,3,juncus subsecundus,0.5
26,3,oxalis perennans,0.5
26,3,vulpia bromoides,0.5
26,3,lomandra filiformis,1
26,3,rytidosperma laeve,0.5
26,3,elymus scaber,0.5
26,3,dichelachne crinita,0.5
26,3,BG,40
26,4,plantago lanceolata,2
26,4,themeda triandra,50
26,4,briza maxima,10
26,4,aira caryophyllea,1
26,4,nassella neesiana,2
26,4,linum trigynum,10
26,4,rytidosperma laeve,5
26,4,romulea rosea,1
26,4,oxalis perennans,0.5
26,4,vulpia bromoides,1
26,4,cynara cardunculus,0.5
26,4,BG,15
26,5,themeda triandra,50
