species,origin,growth_form,type
austrostipa bigeniculata,N,G,NG
austrostipa curticoma,N,G,NG
austrostipa gibbosa,N,G,NG
austrostipa scabra subsp. falcata,N,G,NG
austrostipa sp.,N,G,NG
avena fatua,E,NA,E
bothriochloa macra,N,G,NG
brassica x juncea,E,NA,E
bromus diandrus,E,NA,E
burchardia umbellata,N,G,NG
centaurium sp.,E,NA,E
centaurium tenuifolium,E,NA,E
cerastium glomeratum,E,NA,E
conyza sp.,E,NA,E
dianella revoluta,N,G,NG
disa bracteata,E,NA,E
diuris fragrantissima,N,G,NG
erodium sp.,N,F,NF
euphorbia drummondii,N,F,NF
geranium potentilloides,N,F,NF
geranium retrorsum,N,F,NF
geranium sp.,N,F,NF
goodenia pinnatifida,N,F,NF
hypochaeris radicata,E,NA,E
juncus subsecundus,N,G,NG
lachnagrostis punicea subsp. punicea,N,G,NG
lactuca serriola,E,NA,E
lepidium africanum,E,NA,E
lepidosperma sp.,N,G,NG
lotus suaveolens,E,NA,E
lysimachia arvensis,E,NA,E
lythrum hyssopifolia,N,F,NF
maireana enchylaenoides,N,F,NF
melilotus indicus,E,NA,E
nassella trichotoma,E,NA,E
onopordium illyricum subsp. illyricum,E,NA,E
oxalis corniculata,E,NA,E
pentapogon quadrifidus,N,G,NG
pimelea humilis,N,F,NF
pimelea sp.,N,F,NF
poa labillardierei,N,G,NG
poa rodwayi,N,G,NG
poa sieberiana,N,G,NG
poa sp.,N,G,NG
poaceae sp.,N,G,NG
polycarpon tetraphyllum,E,NA,E
rapistrum rugosum,E,NA,E
rosa rubiginosa,E,NA,E
rumex sp.,N,F,NF
rytidosperma auriculatum,N,G,NG
rytidosperma bipartitum,N,G,NG
rytidosperma caespitosum,N,G,NG
rytidosperma carphoides,N,G,NG
rytidosperma duttonianum,N,G,NG
rytidosperma erianthum,N,G,NG
rytidosperma fulvum,N,G,NG
rytidosperma laeve,N,G,NG
rytidosperma procerum,N,G,NG
rytidosperma racemosum,N,G,NG
rytidosperma setaceum,N,G,NG
rytidosperma sp.,N,G,NG
senecio squarrosus,N,F,NF
silene gallica,E,NA,E
sonchus asper,E,NA,E
sporobolus africanus,E,NA,E
stackhousia subterranea,N,F,NF
stellaria sp.,N,F,NF
tribolium acutiflorum,E,NA,E
trifolium glomeratum,E,NA,E
trifolium incarnatum,E,NA,E
trifolium sp.,E,NA,E
trifolium striatum,E,NA,E
unidentified ?iridaceae,N,G,NG
vicia major,E,NA,E
vicia sativa,E,NA,E
vulpia muralis,E,NA,E
vulpia myuros,E,NA,E
vulpia sp.,E,NA,E
wahlenbergia luteola,N,F,NF
wahlenbergia sp.,N,F,NF
