transect_number,quadrat,species,percent_cover
4,2,vulpia bromoides,1.0
4,2,romulea rosea,2.0
4,2,plantago lanceolata,0.5
4,2,themeda triandra,75.0
4,2,rytidosperma spp.,3.0
4,2,schoenus apogon,5.0
4,2,BG,10.0
4,2,LM,0.5
4,2,L,2.0
4,3,aira caryophyllea,3.0
4,3,vulpia bromoides,1.0
4,3,romulea rosea,3.0
4,3,themeda triandra,80.0
4,3,rytidosperma spp.,5.0
4,3,BG,8.0
4,3,L,1.0
4,4,lolium perenne,25.0
4,4,vulpia bromoides,4.0
4,4,romulea rosea,1.0
4,4,themeda triandra,20.0
4,4,schoenus apogon,3.0
4,4,BG,1.0
4,4,L,0.5
4,5,aira caryophyllea,18.0
4,5,vulpia bromoides,1.0
4,5,romulea rosea,2.0
4,5,themeda triandra,59.0
4,5,juncus sp.,1.0
4,5,rytidosperma spp.,1.0
4,5,BG,18.0
4,5,LM,1.0
4,5,L,2.0
4,6,romulea rosea,7.0
4,6,aira caryophyllea,15.0
4,6,vulpia bromoides,0.5
4,6,convolvulus angustissimus,0.5
4,6,calocephalus citreus,6.0
4,6,rytidosperma spp.,6.0
4,6,austrostipa spp.,2.0
4,6,austrostipa spp.,0.5
4,6,BG,35.0
4,6,LM,1.0
4,6,L,0.5
4,7,aira caryophyllea,3.0
4,7,vulpia bromoides,2.0
4,7,romulea rosea,7.0
4,7,convolvulus angustissimus,0.5
4,7,oxalis perennans,1.0
4,7,themeda triandra,21.0
4,7,rytidosperma spp.,8.0
4,7,austrostipa spp.,5.0
4,7,BG,23.0
4,7,LM,0.5
4,7,L,1.0
4,8,aira caryophyllea,2.0
4,8,romulea rosea,4.0
4,8,vulpia bromoides,0.5
4,8,ptilotus macrocephalus,0.5
4,8,themeda triandra,65.0
4,8,rytidosperma spp.,15.0
4,8,BG,13.0
4,8,LM,0.5
4,8,L,1.0
4,9,romulea rosea,4.0
4,9,vulpia bromoides,2.0
4,9,aira caryophyllea,0.5
4,9,themeda triandra,75.0
4,9,rytidosperma spp.,2.0
4,9,BG,17.0
4,9,LM,0.5
4,9,L,1.0
4,10,vulpia bromoides,20.0
4,10,romulea rosea,5.0
4,10,themeda triandra,80.0
4,10,BG,1.0
4,10,L,1.0
5,1,aira caryophyllea,25.0
5,1,romulea rosea,1.0
5,1,vulpia bromoides,0.5
5,1,oxalis perennans,0.5
5,1,convolvulus angustissimus,1.0
5,1,themeda triandra,10.0
5,1,rytidosperma spp.,7.0
5,1,juncus sp.,3.0
5,1,BG,15.0
5,1,LM,0.5
5,1,L,1.0
5,2,romulea rosea,0.5
5,2,vulpia bromoides,0.5
5,2,aira caryophyllea,0.5
5,2,convolvulus angustissimus,1.0
5,2,acaena echinata,0.5
5,2,rytidosperma spp.,25.0
5,2,themeda triandra,10.0
5,2,austrostipa spp.,0.5
5,2,BG,45.0
5,2,LM,1.0
5,2,L,0.5
5,3,romulea rosea,0.5
5,3,vulpia bromoides,0.5
5,3,aira caryophyllea,0.5
5,3,convolvulus angustissimus,1.0
5,3,oxalis perennans,0.5
5,3,rytidosperma spp.,20.0
5,3,themeda triandra,3.0
5,3,isolepis marginata,1.0
5,3,BG,22.0
5,3,LM,0.5
5,3,L,0.5
5,4,romulea rosea,0.5
5,4,aira caryophyllea,0.5
5,4,vulpia bromoides,0.5
5,4,agrostis capillaris,4.0
5,4,acaena echinata,0.5
5,4,convolvulus angustissimus,0.5
5,4,diuris lanceolata,4.0
5,4,rytidosperma spp.,32.0
5,4,austrostipa spp.,5.0
5,4,BG,18.0
5,4,LM,1.0
5,4,L,0.5
5,5,aira caryophyllea,2.0
5,5,romulea rosea,1.0
5,5,vulpia bromoides,1.0
5,5,plantago lanceolata,1.0
5,5,oxalis perennans,0.5
5,5,themeda triandra,25.0
5,5,rytidosperma spp.,15.0
5,5,BG,15.0
5,5,LM,0.5
5,5,L,1.0
5,6,vulpia bromoides,0.5
5,6,aira caryophyllea,0.5
5,6,hypochoeris radicata,1.0
5,6,romulea rosea,25.0
5,6,diuris basaltica,0.5
5,6,rytidosperma spp.,15.0
5,6,austrostipa spp.,5.0
5,6,BG,15.0
5,6,LM,1.0
5,6,L,1.0
5,7,aira caryophyllea,0.5
5,7,vulpia bromoides,1.0
5,7,romulea rosea,1.0
5,7,diuris basaltica,1.0
5,7,rytidosperma spp.,15.0
5,7,austrostipa spp.,5.0
5,7,austrostipa spp.,2.0
5,7,BG,10.0
5,7,LM,1.0
5,7,L,1.0
5,8,vulpia bromoides,0.5
5,8,romulea rosea,1.0
5,8,aira caryophyllea,0.5
5,8,diuris basaltica,1.0
5,8,austrostipa spp.,18.0
5,8,rytidosperma spp.,10.0
5,8,BG,15.0
5,8,LM,0.5
5,8,L,0.5
5,9,bromus hordeaceus,5.0
5,9,lolium perenne,2.0
5,9,romulea rosea,2.0
5,9,diuris basaltica,1.0
5,9,asperula conferta,0.5
5,9,rytidosperma spp.,15.0
5,9,austrostipa spp.,5.0
5,9,BG,10.0
5,9,LM,0.5
5,9,L,2.0
5,10,plantago lanceolata,0.5
5,10,romulea rosea,2.0
5,10,vulpia bromoides,1.0
5,10,aira caryophyllea,0.5
5,10,diuris basaltica,0.5
5,10,rytidosperma spp.,85.0
5,10,austrostipa spp.,2.0
5,10,BG,15.0
5,10,LM,0.5
5,10,L,1.0
6,1,aira caryophyllea,1.0
6,1,romulea rosea,1.0
6,1,vulpia bromoides,0.5
6,1,vulpia fasciculata,1.0
6,1,themeda triandra,45.0
6,1,rytidosperma spp.,10.0
6,1,BG,15.0
6,1,LM,1.0
6,1,L,0.5
6,2,lolium perenne,5.0
6,2,aira caryophyllea,3.0
6,2,romulea rosea,3.0
6,2,vulpia bromoides,5.0
6,2,oxalis pes-caprae,0.5
6,2,vulpia fasciculata,0.5
6,2,themeda triandra,4.0
6,2,rytidosperma spp.,5.0
6,2,BG,19.0
6,2,LM,1.0
6,2,L,20.0
6,3,aira caryophyllea,1.0
6,3,romulea rosea,2.0
6,3,chrysocephalum apiculatum,0.5
6,3,themeda triandra,30.0
6,3,rytidosperma spp.,3.0
6,3,austrostipa spp.,15.0
6,3,BG,30.0
6,3,LM,3.0
6,3,L,1.0
6,4,aira caryophyllea,0.5
6,4,romulea rosea,1.0
6,4,themeda triandra,30.0
6,4,rytidosperma spp.,20.0
6,4,BG,25.0
6,4,LM,1.0
6,4,L,0.5
6,5,aira caryophyllea,10.0
6,5,vulpia bromoides,0.5
6,5,romulea rosea,0.5
6,5,stellaria media,0.5
6,5,trifolium repens,0.5
6,5,chrysocephalum apiculatum,1.0
6,5,enchylaena tomentosa,0.5
6,5,themeda triandra,20.0
6,5,austrostipa spp.,1.0
6,5,BG,29.0
6,5,LM,1.0
6,5,L,0.5
6,5,R,5.0
6,6,aira caryophyllea,2.0
6,6,romulea rosea,1.0
6,6,chrysocephalum apiculatum,0.5
6,6,leptorhynchos squamatus,0.5
6,6,coronidium scorpioides,0.5
6,6,rytidosperma spp.,5.0
6,6,themeda triandra,30.0
6,6,austrostipa spp.,0.5
6,6,BG,28.0
6,6,LM,0.5
6,6,L,1.0
6,7,aira caryophyllea,3.0
6,7,stellaria media,0.5
6,7,romulea rosea,0.5
6,7,calocephalus citreus,5.0
6,7,convolvulus angustissimus,0.5
6,7,themeda triandra,40.0
6,7,BG,18.0
6,7,LM,1.0
6,7,L,0.5
6,8,aira caryophyllea,3.0
6,8,romulea rosea,2.0
6,8,stellaria media,0.5
6,8,themeda triandra,75.0
6,8,BG,10.0
6,8,LM,1.0
6,8,L,1.0
6,9,romulea rosea,2.0
6,9,aira caryophyllea,15.0
6,9,lolium perenne,0.5
6,9,vulpia bromoides,1.0
6,9,themeda triandra,25.0
6,9,austrostipa spp.,10.0
6,9,BG,20.0
6,9,LM,1.0
6,9,L,1.0
6,10,plantago lanceolata,2.0
6,10,aira caryophyllea,2.0
6,10,romulea rosea,2.0
6,10,convolvulus angustissimus,0.5
6,10,oxalis perennans,0.5
6,10,enchylaena tomentosa,0.5
6,10,themeda triandra,75.0
6,10,rytidosperma spp.,3.0
6,10,austrostipa spp.,1.0
6,10,BG,15.0
6,10,LM,1.0
6,10,L,1.0
7,1,briza maxima,1.0
7,1,aira caryophyllea,0.5
7,1,plantago lanceolata,1.0
7,1,sonchus oleraceus,0.5
7,1,briza minor,0.5
7,1,lolium perenne,0.5
7,1,pimelea spinescens,1.0
7,1,convolvulus angustissimus,0.5
7,1,lomandra nana,22.0
7,1,themeda triandra,10.0
7,1,BG,34.0
7,1,LM,1.0
7,1,L,2.0
7,2,briza minor,0.5
7,2,briza maxima,1.0
7,2,romulea rosea,0.5
7,2,sonchus oleraceus,0.5
7,2,plantago lanceolata,1.0
7,2,phalaris minor,0.5
7,2,gonocarpus tetragynus,0.5
7,2,asperula conferta,0.5
7,2,oxalis perennans,0.5
7,2,lachnagrostis filiformis,2.0
7,2,themeda triandra,30.0
7,2,dianella admixta,5.0
7,2,BG,32.0
7,2,LM,10.0
7,2,L,2.0
7,3,briza maxima,1.0
7,3,plantago lanceolata,1.0
7,3,gonocarpus tetragynus,1.0
7,3,convolvulus angustissimus,1.0
7,3,pimelea glauca,4.0
7,3,dianella admixta,30.0
7,3,lachnagrostis filiformis,1.0
7,3,themeda triandra,20.0
7,3,isolepis marginata,1.0
7,3,rytidosperma spp.,1.0
7,3,dichelachne crinita,1.0
7,3,BG,40.0
7,3,LM,1.0
7,3,L,1.0
7,4,romulea rosea,0.5
7,4,briza maxima,9.0
7,4,briza minor,0.5
7,4,plantago lanceolata,3.0
7,4,aira caryophyllea,1.0
7,4,avena fatua / barbata,0.5
7,4,linum marginale,0.5
7,4,acaena echinata,1.0
7,4,gonocarpus tetragynus,0.5
7,4,rytidosperma spp.,10.0
7,4,austrostipa spp.,3.0
7,4,themeda triandra,20.0
7,4,dichelachne crinita,4.0
7,4,dianella admixta,11.0
7,4,BG,25.0
7,4,LM,4.0
7,4,L,0.5
7,5,plantago lanceolata,10.0
7,5,briza maxima,40.0
7,5,phalaris aquatica,5.0
7,5,avena fatua / barbata,1.0
7,5,bromus catharticus,20.0
7,5,lachnagrostis aemula,5.0
7,5,aira caryophyllea,0.5
7,5,sonchus oleraceus,0.5
7,5,viola hederacaea,0.5
7,5,austrostipa spp.,1.0
7,5,themeda triandra,1.0
7,5,dichelachne crinita,1.0
7,5,BG,15.0
7,5,LM,1.0
7,5,L,5.0
7,5,R,5.0
7,6,plantago lanceolata,2.0
7,6,briza maxima,50.0
7,6,briza minor,5.0
7,6,vulpia bromoides,0.5
7,6,lachnagrostis aemula,1.0
7,6,avena fatua / barbata,1.0
7,6,convolvulus angustissimus,0.5
7,6,linum marginale,0.5
7,6,viola hederacaea,0.5
7,6,themeda triandra,30.0
7,6,BG,10.0
7,6,LM,2.0
7,6,L,2.0
7,7,lachnagrostis aemula,2.0
7,7,plantago lanceolata,2.0
7,7,briza maxima,40.0
7,7,romulea rosea,0.5
7,7,briza minor,0.5
7,7,avena fatua / barbata,0.5
7,7,convolvulus angustissimus,0.5
7,7,themeda triandra,30.0
7,7,rytidosperma spp.,15.0
7,7,dichelachne crinita,0.5
7,7,BG,8.0
7,7,LM,2.0
7,7,L,3.0
7,8,phalaris aquatica,1.0
7,8,briza maxima,50.0
7,8,plantago lanceolata,1.0
7,8,avena fatua / barbata,1.0
7,8,lachnagrostis aemula,1.0
7,8,lolium perenne,0.5
7,8,convolvulus angustissimus,5.0
7,8,themeda triandra,30.0
7,8,rytidosperma spp.,2.0
7,8,BG,12.0
7,8,LM,2.0
7,8,L,1.0
7,9,briza maxima,50.0
7,9,plantago lanceolata,1.0
7,9,avena fatua / barbata,1.0
7,9,romulea rosea,1.0
7,9,briza minor,0.5
7,9,lolium perenne,0.5
7,9,brassica sp.,0.5
7,9,lachnagrostis aemula,1.0
7,9,convolvulus angustissimus,0.5
7,9,themeda triandra,30.0
7,9,rytidosperma spp.,5.0
7,9,BG,9.0
7,9,LM,1.0
7,9,L,0.5
7,10,briza maxima,40.0
7,10,briza minor,0.5
7,10,lachnagrostis aemula,1.0
7,10,avena fatua / barbata,1.0
7,10,poa sieberiana var. sieberiana,8.0
7,10,rytidosperma spp.,8.0
7,10,themeda triandra,20.0
7,10,lomandra micrantha ssp. micrantha,1.0
7,10,BG,22.0
7,10,LM,0.5
7,10,L,0.5
8,1,vulpia bromoides,15.0
8,1,romulea rosea,0.5
8,1,rytidosperma spp.,25.0
8,1,themeda triandra,4.0
8,1,BG,45.0
8,1,LM,25.0
8,1,L,10.0
8,2,romulea rosea,1.0
8,2,vulpia bromoides,2.0
8,2,avena fatua / barbata,0.5
8,2,aira caryophyllea,0.5
8,2,themeda triandra,3.0
8,2,rytidosperma spp.,0.5
8,2,BG,44.0
8,2,LM,47.0
8,2,L,2.0
8,2,R,1.0
8,3,romulea rosea,15.0
8,3,aira caryophyllea,0.5
8,3,vulpia bromoides,0.5
8,3,themeda triandra,0.5
8,3,rytidosperma spp.,0.5
8,3,BG,74.5
8,3,LM,10.0
8,3,L,0.5
8,4,romulea rosea,0.0625
8,4,vulpia bromoides,0.0625
8,4,plantago lanceolata,0.0625
8,4,aira caryophyllea,0.0625
8,4,rytidosperma spp.,5.0
8,4,themeda triandra,1.0
8,4,BG,75.0
8,4,LM,20.0
8,4,L,50.0
8,5,avena fatua / barbata,0.5
8,5,romulea rosea,10.0
8,5,vulpia bromoides,1.0
8,5,aira caryophyllea,0.5
8,5,nassella neesiana,0.5
8,5,austrostipa spp.,1.0
8,5,rytidosperma spp.,10.0
8,5,themeda triandra,2.0
8,5,BG,80.0
8,5,LM,40.0
8,5,L,30.0
8,6,romulea rosea,5.0
8,6,avena fatua / barbata,0.5
8,6,nassella neesiana,5.0
8,6,vulpia bromoides,15.0
8,6,austrostipa spp.,16.0
8,6,rytidosperma spp.,10.0
8,6,themeda triandra,2.0
8,6,BG,50.0
8,6,LM,12.5
8,6,L,10.0
8,7,vulpia bromoides,10.0
8,7,romulea rosea,1.0
8,7,aira caryophyllea,0.5
8,7,avena fatua / barbata,0.5
8,7,austrostipa spp.,0.05
8,7,themeda triandra,10.0
8,7,BG,75.0
8,7,LM,30.0
8,7,L,10.0
8,8,romulea rosea,1.0
8,8,plantago lanceolata,0.5
8,8,avena fatua / barbata,0.5
8,8,vulpia bromoides,16.0
8,8,chrysocephalum apiculatum,0.5
8,8,chrysocephalum apiculatum,0.5
8,8,rutidosis leptorrhynchoides,0.5
8,8,austrostipa spp.,5.0
8,8,themeda triandra,3.0
8,8,BG,70.0
8,8,LM,12.0
8,8,L,10.0
8,9,vulpia bromoides,10.0
8,9,romulea rosea,2.0
8,9,nassella neesiana,0.5
8,9,aira caryophyllea,0.5
8,9,oxalis perennans,0.5
8,9,dianella admixta,1.0
8,9,themeda triandra,5.0
8,9,rytidosperma spp.,5.0
8,9,BG,65.0
8,9,LM,15.0
8,9,L,10.0
8,10,vulpia bromoides,10.0
8,10,romulea rosea,1.0
8,10,chloris truncata,0.5
8,10,rytidosperma spp.,4.0
8,10,themeda triandra,1.0
8,10,BG,81.0
8,10,LM,2.0
8,10,L,2.0
9,1,romulea rosea,0.5
9,1,vulpia bromoides,0.5
9,1,plantago coronopus,4.0
9,1,aira caryophyllea,0.5
9,1,calocephalus citreus,0.5
9,1,themeda triandra,40.0
9,1,rytidosperma spp.,1.0
9,1,isolepis marginata,1.0
9,1,austrostipa spp.,0.5
9,1,BG,50.0
9,1,L,0.5
9,2,aira caryophyllea,0.5
9,2,briza minor,0.5
9,2,plantago coronopus,4.0
9,2,calocephalus lacteus,1.0
9,2,themeda triandra,60.0
9,2,isolepis marginata,0.5
9,2,rytidosperma spp.,0.5
9,2,BG,33.0
9,2,L,2.0
9,3,romulea rosea,0.5
9,3,aira caryophyllea,0.5
9,3,briza minor,0.5
9,3,vulpia bromoides,0.5
9,3,plantago coronopus,3.0
